run,gradcam_time,shap_time
1,0.02088475227355957,58.68472909927368
2,0.02066946029663086,58.50340747833252
3,0.02073955535888672,58.69639539718628
4,0.020435333251953125,58.53863596916199
5,0.021325349807739258,58.61249661445618
6,0.020737171173095703,58.59596586227417
7,0.020669221878051758,58.63529968261719
8,0.021016836166381836,58.470959424972534
9,0.02055215835571289,58.62506318092346
10,0.020616531372070312,58.561116456985474
11,0.02082991600036621,58.40339398384094
12,0.020954132080078125,58.29391026496887
13,0.02077627182006836,58.43374037742615
14,0.02033519744873047,58.307631492614746
15,0.020420312881469727,58.44696378707886
16,0.02048635482788086,58.33800959587097
17,0.02093505859375,58.40031838417053
18,0.020615577697753906,58.4417085647583
19,0.020658254623413086,58.45626425743103
20,0.020529985427856445,58.32140064239502
21,0.020442485809326172,58.36339282989502
22,0.02038264274597168,58.2974214553833
23,0.020702838897705078,58.35598945617676
24,0.020396947860717773,58.31403088569641
25,0.02072286605834961,58.412877798080444
26,0.020486116409301758,58.33904528617859
27,0.020434141159057617,58.38153290748596
28,0.020537137985229492,58.31867074966431
29,0.0210111141204834,58.40459656715393
30,0.020403146743774414,58.31737565994263
